ABAD,Andy,30,CIN,L,L, ,3,0,-4,3,2,0,0,0,1,29,0,7,7,N0,SA2,9,17,2,0,0,0,0,0,2,5,0,1,0,0,0,0,0,4,0,3, ,W,M,0,0,0, ,0,0,2,4,0,0.0,39,14,26,30,3,2.7,4, , ,229,8,25,13,30,14,28,13,8,13,13,14,24,37,26,8,31,13,33,24,13,29,9,14,24,41,27,20,32,9,34,24,13,30,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBOTT,Paul,30,ATL,R,R, ,1,0,-4,3,0,0,0,0,0,20,2,8,8,N0,SA2,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,4,4,0,3,Y,W,L,0,1, , ,8,10,0,0,0,47.7,2,1,2,1,0,27,4, , ,10,6,25,23,30,8,28,13,7,13,13,8,13,9,26,7,31,36,33,24,13,29,7,14,13,9,27,21,32,8,13,32,13,13,12,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERNATHY,Brent,30,LA,R,R, ,4,0,-4,3,0,7,0,0,0,31,0,15,15,N0,SA1,12,34,2,0,0,0,2,0,1,3,1,0,0.333,0.333,0.333,0.667,0,4,0,3, ,W,M,0,0,0, ,0,0,8,2,1,0.0,56,25,31,63,1,3.31,4, , ,321,8,25,27,30,11,28,30,18,24,29,13,24,32,26,9,31,30,33,24,27,29,36,14,24,32,27,13,32,13,34,24,26,31,12,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABREU,Bobby,30,BAL,L,R,8,7,0,-4,3,0,0,0,0,2,36,0,17,17,N0,SA2,158,577,173,35,1,20,0,2,109,126,22,9, , , , ,0,4,0,3, ,W,M,0,0,0, ,0,0,5,6,25,0.0,55,15,27,55,2,1.99,0, , ,317,6,25,14,30,11,28,30,7,26,13,8,13,9,26,6,31,14,33,24,14,29,8,14,13,9,27,16,32,8,13,40,14,13,12,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEVEDO,Juan,30,PHI,R,R,10,1,0,-4,3,0,0,0,0,0,20,1,8,8,B09,SA2,2,0,0,0,0,0,0,0,0,0,0,0,0.229,0.25,0.371,0.621,0,4,2,3,Y, , ,0, , , ,0,39, , , ,38.3, , , , , , ,3,57,100, ,8,25,13,30,36,28,13,9,13,13,13,13,13,26,8,31,13,13,24,13,29,21,14,13,13,27,13,32,23,34,24,13,13,12,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEVEDO,Jose,30,TEX,R,R,9,1,0,-4,3,0,0,0,0,0,20,2,8,8,N0,SA2,5,9,0,0,0,0,2,0,0,5,0,0,0,0,0,0,12,3,0,3,X,Z, ,2,0,0, ,4,5,3,2,1,27.0,80,44,29,85,3,5.45,4, , ,396,8,13,13,30,13,28,13,21,24,13,13,24,13,26,9,31,13,13,24,13,13,23,14,24,13,13,13,32,36,13,24,13,24,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,Terry,30,MIN,R,R,12,1,0,-4,3,0,0,0,0,0,20,1,6,6,G31,SA0,63,1,0,0,0,0,0,0,0,1,0,0,0.291,0.408,0.484,0.892,0,4,16,3,Y, ,H,1, , , ,0,66, , , ,68.0, , , , , , ,1,546,100, ,8,25,13,30,13,13,13,21,13,13,13,13,13,26,9,13,13,13,24,13,13,23,14,13,13,13,13,32,36,13,13,13,13,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADKINS,Jon,30,f.a.,L,R, ,1,0,-4,3,0,0,0,0,0,20,1,8,8,N0,SA2,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.214,0.208,0.422,0,2,4,1, ,W, ,0, , , ,0,4, , , ,9.3, , , , , , ,4,930,100, ,8,25,13,30,13,28,13,21,29,13,13,13,13,26,9,31,13,33,24,13,29,23,14,13,13,27,13,32,36,34,13,13,30,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFELDT,Jeremy,30,MON,L,L,18,1,0,-4,3,0,0,0,0,0,20,1,6,6,N0,SA1,3,6,2,0,0,0,0,0,1,1,0,0,0.167,0.286,0.167,0.452,6,4,8,3,Y, , ,1,2,0, ,18,36,4,1,1,126.0,28,15,15,25,1,3.62,3, , ,172,7,25,14,30,8,28,13,7,13,13,9,13,14,26,7,31,23,33,24,13,29,8,14,13,9,27,21,32,8,34,13,36,13,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AINSWORTH,Kurt,30,ANA,R,R,24,1,0,-4,3,0,0,0,0,0,20,1,8,8,D26,SA3,12,22,1,0,0,0,4,0,0,7,0,0,0.538,0.538,0.692,1.231,6,4,0,3,Y, , ,1, , , ,11,14, , , ,68.3, , , , , , ,4,21,100, ,8,25,13,30,13,28,30,21,32,30,13,32,13,26,9,31,13,33,30,13,29,23,36,32,13,27,13,32,13,30,32,13,32,12,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
