ABBOTT,Paul,30,CIN,R,R,5,1,0,-4,3,0,0,0,0,0,20,1, ,8,0,0,8,11,2,0,0,0,0,0,0,4,0,0,0.229,0.25,0.371,0.621,2,4,0,3, ,W,L,3,0,0, ,19,20,3,11,0,96,106,69,58,46,0,0,4,0,0,0,7,25,13,30,9,28,30,8,29,13,21,13,23,26,8,31,13,33,27,13,12,8,14,13,36,27,13,32,9,34,29,13,32,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABREU,Bobby,30,CIN,L,R,8,7,0,-4,3,0,0,0,0,2,36,0,F,17,34,0,159,574,173,47,1,30,0,5,127,116,40,5,0.229,0.25,0.371,0.621,0,4,0,3, ,W,M,3,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,14,30,11,28,30,6,29,13,8,13,9,26,6,31,40,14,28,14,12,8,14,13,9,27,15,32,8,34,13,14,13,14,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEVEDO,Jose,30,CHW,R,R,9,1,0,-4,3,0,0,0,0,0,20,2, ,8,0,0,38,43,2,0,0,0,5,0,3,26,0,0,0.229,0.25,0.371,0.621,2,3,0,3,Y,Z,L,1,1, , ,27,39,5,12,0,158,188,104,45,117,0,0,2,0,0,0,8,25,13,30,14,13,13,21,29,13,13,13,13,26,9,31,13,13,24,13,12,23,14,13,13,27,13,32,36,34,13,13,13,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,Terry,30,NYM,R,R,12,1,0,-4,3,0,0,0,0,0,20,1,S,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.229,0.25,0.371,0.621,0,4,5,3,Y, , ,3,0,0, ,0,61,6,4,3,70,84,37,28,56,0,0,2,0,0,0,8,25,13,30,14,28,13,21,29,13,14,13,13,26,9,31,13,32,13,13,12,23,14,13,13,27,13,32,36,13,13,13,30,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,Mike,30,BAL,R,R,3575,1,0,-4,3,0,0,0,0,0,20,1,S,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0.229,0.25,0.371,0.621,0,4,11,3,Y,Z, ,3,0,0, ,0,46,2,3,0,53,50,20,14,39,0,0,3,0,0,0,8,25,13,30,13,28,13,21,29,13,13,13,13,26,9,31,13,33,24,13,12,23,14,13,13,27,13,32,36,34,29,13,32,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADKINS,Jon,30,MON,L,R,3488,1,0,-4,3,0,0,0,0,0,20,1, ,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.229,0.25,0.371,0.621,0,4,5,3,Y,Z,M,1,0,0, ,0,50,2,3,0,62,75,32,20,44,0,0,2,0,0,0,8,25,13,30,13,28,13,21,29,13,13,13,13,26,9,31,13,33,24,13,12,23,14,13,13,27,13,32,36,34,29,13,30,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFELDT,Jeremy,30,KC,L,L,18,1,0,-4,3,0,0,0,0,0,20,1,S,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.229,0.25,0.371,0.621,3,4,5,3, , ,G,3,2, , ,8,38,3,4,13,76,91,42,32,49,0,0,3,0,0,0,7,25,14,30,8,28,13,7,29,13,9,13,14,26,7,31,23,33,24,36,12,8,14,13,9,27,21,32,8,34,13,13,13,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUILA,Chris,30,CLE,R,R,3576,7,0,-4,3,0,0,0,0,2,33,0, ,11,0,0,29,45,10,2,1,3,1,0,2,12,0,0,0.229,0.25,0.371,0.621,0,4,0,3, ,W,M,3,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,25,13,30,9,28,30,5,29,13,9,27,40,26,5,31,13,33,28,13,12,8,14,29,13,27,15,32,8,34,32,13,32,13,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFONSECA,Antonio,30,TEX,R,R,35,1,0,-4,3,0,0,0,0,0,20,1,S,4,0,0,76,1,0,0,0,0,0,0,0,1,0,0,0.229,0.25,0.371,0.621,0,4,16,3, , ,G,3,0,0,0,0,79,6,4,0,74,71,21,28,45,0,0,0,0,0,0,8,25,13,30,13,13,13,21,13,13,13,13,13,26,9,13,13,13,24,13,12,23,14,13,13,13,13,32,36,13,13,13,13,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFONZO,Edgardo,30,OAK,R,R,36,5,0,-4,3,0,6,4,0,0,34,0, ,9,20,0,139,519,150,26,1,11,2,5,46,40,1,1,0.229,0.25,0.371,0.621,0,4,0,3, ,W,M,3,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,14,30,8,28,32,7,29,31,8,27,9,26,0,31,14,33,24,22,12,7,14,13,9,27,18,32,8,13,24,26,31,39,35,0,1,8,6,7,1,6,6,1,6,6,1,6,3,8,1,7,6,6,7,6,6,1,6,6,6,8,6,7,1,6,6,6,6,6,7,1
