ABBOTT,Paul,35,f.a.,R,R, ,1, , , , , , , , ,20,2, ,8,N0,SA1,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,1,4, , ,Y,W,L,3,0,0, ,5,7,1,3,0,26.3,40,35,20,22,1,11.96,J-4, , ,168,6,25,23,30,8,12,13,7,28,13,8,13,9,26,7,31,36,33,24,13,29,7,14,13,9,27,21,32,8,13,13,13,32,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABERNATHY,Brent,25,TB,R,R, ,4, , , , ,7, , , ,31, ,F,15,E28,SA0,117,463,112,18,4,2,8,6,25,46,10,4,0.242,0.289,0.311,0.6, , , , , , , , , , , , , , , , , , , , , , , ,J-2,1000,72, ,0,25,22,30,10,12,30,8,28,27,9,32,14,26,7,31,36,33,24,13,29,8,14,29,9,27,18,32,8,34,32,26,31,13,35,0,1,11,6,11,2,6,6,2,6,6,5,6,6,11,2,11,6,6,6,6,6,2,6,6,6,11,6,11,2,6,6,6,6,6,6,1
ABREU,Bobby,29,PHI,L,R, ,8, , , , , , , ,2,36, ,F,17,D28,SA3,157,572,176,50,6,20,0,3,104,117,31,12,0.308,0.417,0.521,0.938, , , , , , , , , , , , , , , , , , , , , , , ,J-0,989,100, ,4,25,14,30,11,12,13,6,28,13,10,13,9,26,6,31,40,14,24,14,29,8,14,13,9,27,16,32,8,34,13,26,30,14,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEVEDO,Jose,25,CIN,R,R, ,1, , , , , , , , ,20,2, ,8,N0,SA1,6,7,1,1,0,0,2,0,1,6,0,0,0.143,0.25,0.286,0.536,1,4, , , ,W,M,3,0,0, ,5,6,4,2,0,23.7,28,19,12,14,2,7.23,J-4, , ,136,6,25,13,13,21,12,13,8,13,13,23,13,14,13,8,13,13,13,24,13,13,9,14,13,36,13,13,32,9,13,13,13,13,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEVEDO,Juan,32,DET,R,R,10,1, , , , , , , , ,20,1, ,8,N0,SA2,4,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,16,3, ,Z,G,2,0,0, ,0,65,1,5,28,74.7,68,22,23,43,5,2.65,J-1, , ,352,8,25,13,30,36,12,13,9,28,13,13,13,13,26,8,31,13,13,24,13,29,21,14,13,13,27,13,32,23,34,24,13,13,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,Terry,30,PHI,R,R,12,1, , , , , , , , ,20,1,S,6,N0,SA1,45,25,2,0,0,0,6,0,3,13,0,0,0.08,0.179,0.08,0.259,5,4, , ,Y, ,G,3,1,0, ,19,46,7,9,0,136.7,132,66,58,96,3,4.35,J-1, , ,663,8,25,13,30,36,12,13,9,28,13,14,13,14,26,8,31,13,13,24,13,13,21,14,13,13,27,13,32,23,13,24,13,32,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFFELDT,Jeremy,23,KC,L,L, ,8, , , , , , , , ,20,1,S,6,N0,SA3,0,0,0,0,0,0,0,0,0,0,0,0, , , , ,3,4,5,3,X, , ,3,2, , ,7,34,3,4,0,77.7,85,40,37,67,3,4.64,J-3, , ,394,8,25,13,30,13,12,13,21,28,13,13,13,13,26,9,31,13,33,24,13,29,23,14,13,13,27,13,32,36,34,29,13,30,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBAYANI,Benny,31,BOS,R,R, ,8, , , , , , , ,1,30, ,S,6,G26,SA0,61,154,35,6,0,4,0,0,16,40,1,0,0.227,0.3,0.344,0.644, , , , , , , , , , , , , , , , , , , , , , , ,J-4,268,100, ,0,25,40,30,9,12,32,8,28,13,9,13,14,26,7,31,13,33,24,13,29,8,14,13,14,27,16,32,8,34,24,13,31,13,35,0,1,6,6,6,1,6,6,1,6,6,1,6,1,6,1,6,1,6,6,1,6,1,6,6,1,6,6,6,1,6,1,5,6,1,6,1
AINSWORTH,Kurt,24,SF,R,R,24,1, , , , , , , , ,20,1, ,8,N0,SA2,6,6,1,1,0,0,1,0,0,1,0,0,0.167,0.167,0.333,0.5,14,4, , , ,W,H,3,1,0, ,4,6,1,2,0,25.7,22,6,12,15,1,2.1,J-4, , ,123,6,25,13,30,9,12,30,8,28,13,21,30,23,26,6,31,13,33,24,13,29,8,14,13,36,27,13,32,9,34,32,13,32,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCANTARA,Izzy,29,MIL,R,R, ,3, , , ,2, , , ,1,29, ,S,6,C14,PL3,16,32,8,1,0,2,0,0,0,6,0,1,0.25,0.25,0.469,0.719, , , , , , , , , , , , , , , , , , , , , , , ,J-4,51,100, ,5,25,13,30,8,12,30,7,28,30,9,32,13,26,5,31,13,33,28,13,29,8,40,27,9,27,16,32,8,34,30,27,30,13,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFONSECA,Antonio,30,CHC,R,R, ,1, , , , , , , , ,20,2,S,6,N0,SA3,64,3,2,0,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333, , ,7,3,Y, ,G,1,0,0, ,0,66,2,5,19,74.3,73,33,36,61,3,4,J-1, , ,369,7,25,23,30,8,12,13,7,28,13,8,13,9,26,7,31,9,33,24,36,29,7,14,13,8,27,21,32,7,34,13,13,13,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFONZO,Edgardo,29,SF,R,R,36,5, , , , , ,5, , ,34, , ,13,G35,SA3,135,490,151,26,0,16,0,7,62,55,6,0,0.308,0.394,0.459,0.853, , , , , , , , , , , , , , , , , , , , , , , ,J-2,819,100, ,6,25,14,30,8,12,31,7,28,27,8,13,9,26,0,31,9,14,28,14,29,7,14,13,8,27,20,32,8,34,22,13,31,39,35,1,6,11,6,11,6,11,6,6,6,11,6,6,6,11,6,11,6,6,11,6,11,6,6,6,6,11,6,11,6,11,6,6,11,6,11,5
ALICEA,Luis,37,KC,B,R, ,4, , , ,2,7,3,6,1,29, , ,14,D16,SA0,94,237,54,8,2,1,3,1,32,34,2,3,0.228,0.322,0.291,0.613, , , , , , , , , , , , , , , , , , , , , , , ,J-3,446,100, ,0,25,14,30,9,12,30,8,28,13,9,27,14,26,7,31,36,33,24,13,29,8,14,29,14,27,21,32,8,34,32,26,31,13,35,0,1,7,6,11,4,11,6,2,6,6,5,6,6,7,2,11,6,6,7,6,11,2,6,6,6,7,6,11,2,6,6,6,6,6,8,1
ALLEN,Chad,28,FLA,R,R, ,8, , , , , , , ,1,32, ,F,15,N0,SA2,5,10,1,1,0,0,1,0,0,2,0,0,0.1,0.1,0.2,0.3, , , , , , , , , , , , , , , , , , , , , , , ,J-4,930,100, ,6,25,13,30,16,12,24,8,28,30,40,24,13,26,8,31,13,33,24,32,29,9,14,24,13,27,13,32,9,34,24,32,24,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEN,Luke,24,LA,L,R, ,8, , , , , , , ,1,32, , ,9,N0,SA4,6,7,1,1,0,0,0,0,2,3,0,0,0.143,0.333,0.286,0.619, , , , , , , , , , , , , , , , , , , , , , , ,J-4,14,100, ,6,25,13,30,14,12,13,8,28,13,14,13,14,26,8,31,13,33,24,13,29,9,14,13,40,27,17,32,9,34,26,13,30,13,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMANZA,Armando,30,FLA,L,L, ,1, , , , , , , , ,20,2,S,4,N0,SA4,46,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,6,3,XY,W,L,3,3, ,0,0,51,3,2,2,45.7,36,22,23,57,0,4.34,J-2, , ,216,8,25,13,30,13,12,13,21,24,13,13,24,13,26,9,31,13,13,24,13,24,23,14,24,13,24,13,32,36,13,24,13,24,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMANZAR,Carlos,30,CIN,R,R, ,1, , , , , , , , ,20,1, ,8,N0,SA2,7,0,0,0,0,0,0,0,0,0,0,0, , , , ,4,4,11,3,Y, ,H,3,0,0,0,1,8,0,1,0,11.7,6,3,5,7,0,2.31,J-4, , ,51,8,25,13,13,13,12,24,21,24,13,13,24,13,13,9,13,13,13,24,13,13,23,14,24,13,13,13,13,36,13,24,13,24,13,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOMAR,Roberto,35,NYM,B,R,52,4, , , , ,7, , , ,33, ,F,15,E31,SA0,149,590,157,24,4,11,6,1,57,83,16,4,0.266,0.332,0.376,0.708, , , , , , , , , , , , , , , , , , , , , , , ,J-1,938,100, ,0,25,14,30,8,12,31,7,28,29,8,13,9,26,0,31,36,14,24,13,29,8,14,13,9,27,18,32,8,34,24,26,31,13,35,0,1,11,6,11,1,11,6,1,6,11,2,6,3,11,1,11,6,6,11,6,11,1,6,6,2,11,6,11,1,6,6,6,6,6,11,1
ALOMAR,Sandy,36,CHW,R,R,53,2,7,-2,2, , , , , ,34, ,S,4,N0,SA0,89,283,79,14,1,7,1,1,9,33,0,0,0.279,0.304,0.41,0.714, , , , , , , , , , , , , , , , , , , , , , , ,J-3,429,100, ,0,25,36,30,8,12,30,7,28,13,8,24,9,26,0,31,9,33,24,38,29,7,14,32,8,27,18,32,8,13,24,26,31,13,35,0,1,7,6,6,1,6,6,1,6,6,1,6,1,7,1,6,2,6,8,4,6,1,6,6,1,7,6,6,1,6,6,6,6,6,8,1
